TMS_ID,vt_hours
EP000011895274,43.26277778
EP000011895275,46.63694444
EP000011895276,41.76055556
EP000011895277,44.18861111
EP000011895278,46.19888889
EP000011895279,43.14972222
EP000011895280,39.35166667
EP000011895281,39.53111111
EP000011895282,37.63305556
EP000011895283,31.67777778
EP000011895284,34.88694444
EP000011895285,34.66
EP000011895286,35.74027778
EP000011895287,38.55611111
EP000011895288,40.01083333
EP000011895289,36.79916667
EP000011895290,34.50972222
EP000011895291,35.48555556
EP000011895292,1.430833333
EP000011895293,33.52861111
EP000011895294,2.035833333
EP000011895295,30.47694444
EP000011895296,39.37555556
EP000011895297,35.86194444
EP000011895298,42.34666667
EP000011895299,2.217222222
EP000011895300,40.84
EP000011895301,44.17388889
EP000011895302,42.02888889
EP000011895303,44.23472222
EP000011895304,0.965277778
EP000011895305,52.20083333
EP000011895306,51.19972222
EP000011895307,45.71944444
EP000011895308,47.67555556
EP000011895309,47.60361111
EP000011895310,58.15416667
EP000011895311,0.815833333
EP000011895312,58.36694444
EP000011895313,73.19611111
EP000011895314,59.65666667
EP000011895315,66.75861111
EP000011895316,1.850277778
EP000011895317,65.04833333
EP000011895318,64.71055556
EP000011895319,66.84166667
EP000011895320,70.20138889
EP000011895321,56.17055556
EP000011895322,76.00555556
EP000011895323,78.41694444
EP000011895324,78.12416667
EP000011895325,78.03111111
EP000011895326,97.16166667
EP000011895327,93.19611111
EP000011895328,94.38388889
EP000011895329,107.9133333
EP000011895330,128.8122222
EP000011895331,147.94
EP000011895332,159.9794444
EP000011895333,153.4963889
EP000011895334,161.7102778
EP000011895335,175.9972222
EP000011895336,203.0527778
EP000011895337,192.4577778
EP000011895338,261.9752778
EP000011895339,279.6380556
EP000011895340,303.1119444
EP000011895341,482.9186111
EP000011895342,551.3375
EP000011895343,767.2069444
EP000011895344,718.4369444
EP000011895345,787.8086111
EP000011895346,1091.2275
EP000011895347,1688.470833
EP000011895348,2930.198889
EP000011895349,4810.804167
EP000011895350,4249.833333
EP000011895351,5006.106667
EP000011895352,5128.453611
EP000011895353,4716.494167
EP000011895354,5931.755278
EP000011895355,7290.899444
EP000011895356,3764.349167
EP000011895357,2952.205
EP000012010001,4.123055556
EP000012010002,1.410555556
EP000012010003,0.928611111
EP000012010005,1.295833333
EP000012010007,5.111111111
EP000012010008,5.659722222
EP000012010009,4.239166667
EP000012010011,2.160555556
EP000012010012,5.591666667
EP000012010013,3.518333333
EP000012010014,5.774444444
EP000012010015,2.131111111
EP000012010018,6.557222222
EP000012010020,2.806666667
EP000012010021,4.677222222
EP000012010024,1.735555556
EP000012010025,3.135833333
EP000012010026,3.128611111
EP000012010027,4.131111111
EP000012010028,4.716388889
EP000012010030,9.929722222
EP000012010031,12.42638889
EP000012010032,11.62027778
EP000012010033,11.67277778
EP000012010034,8.175277778
EP000012010035,1.649166667
EP000012010036,13.60805556
EP000012010037,11.6975
EP000012010038,10.93166667
EP000012010039,4.861666667
EP000012010040,2.697777778
EP000012010041,1.6925
EP000012010042,2.006944444
EP000012010043,2.256666667
EP000012010044,1.707222222
EP000012010045,1.332777778
EP000012010046,4.078055556
EP000012010047,1.704444444
